sample_id,consensus_insertion_auc,consensus_expert_roi,fw_consensus_insertion_auc,fw_consensus_expert_roi,uniform_consensus_insertion_auc,uniform_consensus_expert_roi,topk_consensus_insertion_auc,topk_consensus_expert_roi,topk_methods,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop
11340341_1224932122_5_left_subarticular_stenosis_l1_l2,0.9946237951517106,0.2652563750743866,0.9946237951517106,0.2652563750743866,0.9943891316652297,0.2645602524280548,0.9929569244384765,0.26834845542907715,gradcam++ gradcam occlusion,0.17643982782216336,0.17662562987168823,0.15534634520540994,0.16602227838575043,0.17067477477554396,0.154891143939444
11340341_2231042680_5_right_neural_foraminal_narrowing_l4_l5,0.6993541076779365,0.23856812715530396,0.6993541076779365,0.23856812715530396,0.7108187139034271,0.23837746679782867,0.6971245035529137,0.24019116163253784,gradcam++ occlusion gradcam,0.1720840759026407,0.1813425498134486,0.15161953578213905,0.1592560978760582,0.17335753896302958,0.16234020166268384
11340341_3543553307_10_spinal_canal_stenosis_l1_l2,0.9949669793248177,0.28260523080825806,0.9949669793248177,0.28260523080825806,0.9954481944441795,0.28260523080825806,0.9960021302103996,0.28260523080825806,gradcam gradcam++ occlusion,0.17319641190901197,0.1731240776442666,0.1603005927234377,0.16393505559993374,0.17289917628448695,0.15654468583886308
59576878_1786504756_4_right_neural_foraminal_narrowing_l3_l4,0.8990876451134681,0.28260523080825806,0.8990876451134681,0.28260523080825806,0.8936840072274207,0.28260523080825806,0.9215651646256446,0.28260523080825806,occlusion gradcam gradcam++,0.19033714275851224,0.18545642293666917,0.13917247398328572,0.16278015737016185,0.19528367906717736,0.12697012388419374
59576878_2414228193_3_left_subarticular_stenosis_l1_l2,0.9609568133950234,0.25293979048728943,0.9609568133950234,0.25293979048728943,0.9597372069954871,0.2528422474861145,0.9593239828944206,0.2512246370315552,occlusion gradcam++ gradcam,0.17033216610377291,0.17285319563114881,0.15559016965183342,0.16273321529521337,0.18095941267915483,0.15753184063887662
73783367_1885677897_11_left_subarticular_stenosis_l1_l2,0.9515366509556769,0.21353144943714142,0.9515366509556769,0.21353144943714142,0.9526190623641014,0.21325692534446716,0.9501912698149682,0.22191843390464783,gradcam++ gradcam occlusion,0.16983196499509673,0.17048885279461207,0.16522473341847468,0.1678011550318458,0.16834119936658398,0.1583120943933866
73783367_2087785373_5_left_neural_foraminal_narrowing_l1_l2,0.9880427077412606,0.28076738119125366,0.9880427077412606,0.28076738119125366,0.9886086359620094,0.28076738119125366,0.9885058805346487,0.2812773883342743,occlusion gradcam++ gradcam,0.17096406797521668,0.17110366006069697,0.16142051198139554,0.1631562093540233,0.1716712018608468,0.1616843487678208
73783367_2639788488_7_spinal_canal_stenosis_l1_l2,0.996584017574787,0.2797486484050751,0.996584017574787,0.2797486484050751,0.9965146079659462,0.2796468734741211,0.9969964608550073,0.2785283029079437,gradcam++ gradcam occlusion,0.17185238128541122,0.17191062681945204,0.16345921438053002,0.1644709218410171,0.1711630261118886,0.15714382956170111
88465004_2838498199_14_left_subarticular_stenosis_l3_l4,0.5301198102533817,0.2620803117752075,0.5301198102533817,0.2620803117752075,0.5158956736326217,0.262971967458725,0.5555625155568124,0.20969924330711365,occlusion gradcam++ guided_backprop,0.1619431852198795,0.17786942129903466,0.16755542550115177,0.1429880407933765,0.18052966338548856,0.16911426380106895
88465004_3579504941_13_left_neural_foraminal_narrowing_l1_l2,0.9910327717661859,0.23457643389701843,0.9910327717661859,0.23457643389701843,0.9907768204808234,0.23438698053359985,0.9927800849080086,0.23885424435138702,gradcam gradcam++ occlusion,0.17141664506960688,0.17135610948834248,0.1613027457167785,0.16400606485390945,0.1708601107611426,0.16105832411022003
96439573_296385739_10_spinal_canal_stenosis_l1_l2,0.9941675499081613,0.27731025218963623,0.9941675499081613,0.27731025218963623,0.9936006233096123,0.2770061194896698,0.9949751362204552,0.27417439222335815,gradcam gradcam++ occlusion,0.1723583738812186,0.17231573598105615,0.1632197477503571,0.16553489115414174,0.17114469106496297,0.15542656016826348
96439573_557434766_13_right_neural_foraminal_narrowing_l1_l2,0.9718179196119306,0.26089340448379517,0.9718179196119306,0.26089340448379517,0.9676426649093627,0.26257553696632385,0.9926054507493972,0.18694208562374115,occlusion gradcam guided_backprop,0.17536173049879475,0.16099050137589413,0.16192196811243903,0.16045852238376446,0.1785388879985731,0.16272838963053451
96439573_1359869694_18_right_subarticular_stenosis_l3_l4,0.4311460154131055,0.23467117547988892,0.4311460154131055,0.23467117547988892,0.40428746994584797,0.23391364514827728,0.4740994803607464,0.21978771686553955,gradcam gradcam++ occlusion,0.20622004446403014,0.20133086432657762,0.13480266965260737,0.13338113681995392,0.19603584193012125,0.1282294428067098
97086905_2413491771_14_right_subarticular_stenosis_l4_l5,0.5331572338938713,0.12165365368127823,0.5331572338938713,0.12165365368127823,0.5300695836544037,0.12055996805429459,0.5558618903160095,0.1619962453842163,gradcam gradcam++ integrated_gradients,0.17696028455918722,0.17349152238660526,0.16689631648031028,0.15703541954623218,0.1614146320624342,0.1642018249652309
97086905_2734164627_10_right_neural_foraminal_narrowing_l3_l4,0.7623683609068395,0.24383455514907837,0.7623683609068395,0.24383455514907837,0.7699362494051456,0.24172261357307434,0.727579203993082,0.24460431933403015,gradcam gradcam++ occlusion,0.1929109456425327,0.18321220910656486,0.1561040033573558,0.1473571824383406,0.16563660835978336,0.1547790510954228
97634230_1763367570_8_left_subarticular_stenosis_l2_l3,0.9808939769864083,0.2812773883342743,0.9808939769864083,0.2812773883342743,0.980122147500515,0.28066545724868774,0.981558747589588,0.28199201822280884,gradcam gradcam++ occlusion,0.1927617137121807,0.19223843140610322,0.13776109873368947,0.1568757684237259,0.19156937586478628,0.12879361185951435
97634230_3235809257_10_spinal_canal_stenosis_l3_l4,0.9560872614383699,0.28199201822280884,0.9560872614383699,0.28199201822280884,0.9470108300447464,0.28137943148612976,0.9550229370594024,0.2825029790401459,gradcam gradcam++ occlusion,0.21142614690718345,0.20939541874589698,0.12749032120791565,0.14668034969887322,0.1781950824449749,0.12681268099515566
97634230_3354355391_14_left_neural_foraminal_narrowing_l3_l4,0.9657657191157341,0.27741166949272156,0.9657657191157341,0.27741166949272156,0.959796319901943,0.2778174877166748,0.9647201314568521,0.2750832140445709,gradcam gradcam++ occlusion,0.19485969084971116,0.1930727216301902,0.14076564230850364,0.14835689002526994,0.1908461209198515,0.13209893426647357
109677683_710656432_13_right_subarticular_stenosis_l4_l5,0.6782466424629093,0.11481430381536484,0.6782466424629093,0.11481430381536484,0.6567849401384591,0.12494756281375885,0.6856871994212269,0.08110468834638596,gradcam gradcam++ integrated_gradients,0.19634108788082244,0.1800120482038499,0.1641998490851706,0.1495377727910145,0.16245690467296672,0.14745233736617577
109677683_1241324984_6_right_neural_foraminal_narrowing_l3_l4,0.7237055696547032,0.24904899299144745,0.7237055696547032,0.24904899299144745,0.7163598254323006,0.24856433272361755,0.7271219119429588,0.2543073296546936,gradcam++ occlusion gradcam,0.17115947525182743,0.18925768943538607,0.15204907991299987,0.14569027982726312,0.18450181766918927,0.1573416579033343
112166434_566852271_9_left_subarticular_stenosis_l2_l3,0.9490461274981499,0.27660080790519714,0.9490461274981499,0.27660080790519714,0.9489918515086174,0.2757909893989563,0.9383428052067757,0.2711543142795563,gradcam++ gradcam gradient_shap,0.18622031853185333,0.18989599618450664,0.15278389145618945,0.16497348756475205,0.16190294991496054,0.14422335634773803
112166434_626858322_4_right_neural_foraminal_narrowing_l1_l2,0.8586355820298194,0.18913525342941284,0.8586355820298194,0.18913525342941284,0.8611282631754875,0.18773069977760315,0.9318646147847175,0.21325692534446716,occlusion gradcam++ gradcam,0.17026718374007652,0.17156895898744495,0.16215612315347608,0.16221023249504576,0.17183025173101854,0.16196724989293806
112166434_2665773591_8_spinal_canal_stenosis_l2_l3,0.9535643100738527,0.276297003030777,0.9535643100738527,0.276297003030777,0.9619225025177002,0.2755886912345886,0.9609102547168732,0.276195764541626,gradcam++ gradcam occlusion,0.19114043471609182,0.19359113441989748,0.13955349754463864,0.1552111370044439,0.1875108341548094,0.1329929621601188
113121178_577886028_11_spinal_canal_stenosis_l3_l4,0.6097657844424249,0.24325786530971527,0.6097657844424249,0.24325786530971527,0.6216747924685478,0.24095642566680908,0.6797040581703185,0.23790104687213898,gradcam++ gradcam occlusion,0.1948435371463507,0.1998794783996045,0.1300526403369674,0.13996232485789373,0.18770599247747788,0.14755602678170585
113121178_1716134218_16_left_neural_foraminal_narrowing_l3_l4,0.9058343842625618,0.28260523080825806,0.9058343842625618,0.28260523080825806,0.8883406296372414,0.28260523080825806,0.9240221038460732,0.28260523080825806,occlusion gradcam++ gradcam,0.17982002315817563,0.19026041731617924,0.13872742939609753,0.1621588258117925,0.1965256789715644,0.1325076253461906
