sample_id,consensus_insertion_auc,consensus_expert_roi,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop
11943292_403244853_7_right_subarticular_stenosis_l1_l2,0.9185319051146508,0.28260523080825806,0.17607784926649914,0.17851977738060204,0.144660767477124,0.1680329879545828,0.1866070371911053,0.14610158073008675
11943292_1212326388_4_right_neural_foraminal_narrowing_l2_l3,0.883449673652649,0.28219637274742126,0.18052718695870598,0.18038272375480166,0.1467223522021568,0.14715288838001833,0.19295606139634014,0.15225878730797715
11943292_1638921810_8_spinal_canal_stenosis_l5_s1,0.9596947655081749,0.27135518193244934,0.1892384029991549,0.18890500016290154,0.15039254857989492,0.16340465597803064,0.17820515663014855,0.12985423564986945
41477684_3009399271_4_left_neural_foraminal_narrowing_l4_l5,0.5943327248096467,0.25040802359580994,0.18098568437696036,0.17539531699928362,0.1683552502719049,0.16929469459846178,0.15147429662943518,0.15449475712395422
41477684_3749739759_3_right_subarticular_stenosis_l1_l2,0.5180368050932884,0.27397260069847107,0.1890759133797867,0.1574591061686694,0.15949791462807622,0.16985744463870014,0.17368586289402918,0.15042375829073854
44060036_1034241723_2_right_neural_foraminal_narrowing_l5_s1,0.661569035053253,0.2799522578716278,0.19696573654270352,0.19139243179270998,0.13332132617853865,0.16828067321975296,0.18171222542183219,0.12832760684446268
44060036_2320605986_4_left_subarticular_stenosis_l3_l4,0.7370039537549018,0.223591148853302,0.18457437318851702,0.1852349009981515,0.15481786886136495,0.16082310237850217,0.16261428567732847,0.1519354688961359
44060036_3294158542_7_spinal_canal_stenosis_l1_l2,0.9221469551324843,0.2026461362838745,0.19210842463233055,0.19045185140352133,0.13431374470275215,0.1564963261677994,0.1816801039653124,0.1449495491282841
52695609_3284178089_6_left_neural_foraminal_narrowing_l1_l2,0.8742279231548311,0.21988020837306976,0.19384372471190764,0.16540181165444912,0.15610089087662812,0.17085865726833893,0.16365925997874395,0.15013565550993221
52695609_3778925627_7_left_subarticular_stenosis_l1_l2,0.5512317776679992,0.2804616093635559,0.17774654752275978,0.17881035235511347,0.15805968438693904,0.15080585381369338,0.18062604014999933,0.153951521771495
74294498_507422603_9_spinal_canal_stenosis_l1_l2,0.9868815824389457,0.2681485116481781,0.18864132136837938,0.18854849209871022,0.13321521976337836,0.16263207445748804,0.1882454966074194,0.13871739570462469
74294498_3485741709_11_left_neural_foraminal_narrowing_l1_l2,0.9481884464621545,0.20770154893398285,0.18253606659413676,0.18207010466056403,0.1551499644213454,0.16565029285888808,0.16616468903576628,0.14842888242929952
74294498_3742439825_29_right_subarticular_stenosis_l3_l4,0.6197225034236907,0.2817877531051636,0.16806604781196668,0.1720230115357124,0.1607381299515567,0.16366119442494007,0.17238739207378254,0.1631242242020416
75336136_1335435066_5_right_neural_foraminal_narrowing_l1_l2,0.9426923245191574,0.2641628086566925,0.17705814761894706,0.17754600179190402,0.15572676900043356,0.15569693381705108,0.18051305049728517,0.15345909727437917
75336136_3843947211_7_left_subarticular_stenosis_l1_l2,0.5665405608713626,0.17386546730995178,0.140067335441556,0.15900860774582523,0.17658101474198584,0.1715254966130943,0.17778790671070221,0.1750296387468363
100206310_1012284084_20_left_subarticular_stenosis_l1_l2,0.33050676062703127,0.2501165568828583,0.17207118430655172,0.1705206696908916,0.16331422060216935,0.15640439494069625,0.17540282304254193,0.16228670741714904
100206310_1792451510_9_spinal_canal_stenosis_l1_l2,0.4881106156855821,0.27934160828590393,0.18226873890623652,0.179746376348029,0.15127729609936538,0.14609869537446604,0.1891667149048183,0.15144217836708468
100206310_2092806862_12_left_neural_foraminal_narrowing_l2_l3,0.4858934454619885,0.28260523080825806,0.16170372110086806,0.16928818045319804,0.15345446458326575,0.16202077510007643,0.1939722456117294,0.15956061315086223
105895264_1796707037_13_right_subarticular_stenosis_l1_l2,0.605075965821743,0.27175718545913696,0.18717839171092776,0.1855059664814228,0.15078289457860597,0.1481128898395845,0.17815449056266433,0.15026536682679456
105895264_3528018752_6_left_neural_foraminal_narrowing_l5_s1,0.6940493844449521,0.25196483731269836,0.19896035519393618,0.1881339294155922,0.15095010811106802,0.14271018216707101,0.17431933172404562,0.14492609338828705
106310815_2365055639_6_right_neural_foraminal_narrowing_l1_l2,0.7341025393456221,0.2815835475921631,0.1949049897276418,0.17637851451498887,0.1687656163485266,0.12947809520043255,0.16590054493152057,0.16457223927688974
106310815_2473102710_11_spinal_canal_stenosis_l1_l2,0.9834212765097617,0.2825029790401459,0.18712242264313178,0.18709063825110323,0.14127977127747685,0.1624504363569636,0.18693473598199584,0.13512199548932857
106310815_3073372931_31_right_subarticular_stenosis_l3_l4,0.8773184869438408,0.28260523080825806,0.21477499667657537,0.22000498736182444,0.11728988397503384,0.1171072098438828,0.21798846415963685,0.11283445798304671
