sample_id,consensus_insertion_auc,consensus_expert_roi,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop
11943292_403244853_7_right_subarticular_stenosis_l1_l2,0.9749290898442268,0.28168565034866333,0.16741487655847143,0.16714079007940896,0.16735593524654563,0.16733740685610862,0.1674267461489912,0.16332424511047414
11943292_1212326388_4_right_neural_foraminal_narrowing_l2_l3,0.9730168938636778,0.28260523080825806,0.16901428476181563,0.16899907415503343,0.16848082770996842,0.16846655126242202,0.16892104153693138,0.15611822057382896
11943292_1638921810_8_spinal_canal_stenosis_l5_s1,0.9914845243096352,0.28260523080825806,0.1668588691410318,0.16677237063544414,0.16658814201536062,0.1665580292815947,0.16663937481295413,0.16658321411361474
41477684_3009399271_4_left_neural_foraminal_narrowing_l4_l5,0.3889547780156135,0.0816134437918663,0.15875509842633115,0.16754601252983867,0.16933783540125602,0.17032458663208166,0.16411637969851872,0.16992008731197383
41477684_3749739759_3_right_subarticular_stenosis_l1_l2,0.9639834716916084,0.28260523080825806,0.13474043329617572,0.1736592399005644,0.17347937189619717,0.17335232113141805,0.17284996010913017,0.1719186736665144
44060036_1034241723_2_right_neural_foraminal_narrowing_l5_s1,0.5664139769971371,0.27417439222335815,0.12375933870083022,0.1290444465671711,0.17827070917436763,0.1795885935987968,0.20802405941718094,0.18131285254165333
44060036_2320605986_4_left_subarticular_stenosis_l3_l4,0.8248385116457938,0.07597137987613678,0.16344821865451073,0.1774920474224868,0.16320618314764967,0.16443796568693886,0.17415984662951922,0.15725573845889484
44060036_3294158542_7_spinal_canal_stenosis_l1_l2,0.9787474006414413,0.18458253145217896,0.15066714174098972,0.18053461852373087,0.1701223397710972,0.15960054975859894,0.1824018327256606,0.15667351747992272
52695609_3284178089_6_left_neural_foraminal_narrowing_l1_l2,0.8501872316002846,0.24682268500328064,0.18229571899493016,0.18229571899493016,0.14721995120270662,0.14200029865323807,0.20447465645774088,0.14171365569645425
52695609_3778925627_7_left_subarticular_stenosis_l1_l2,0.8798736572265624,0.28229856491088867,0.120226827467775,0.21792883676260685,0.14419718605238258,0.1584031485470388,0.21002383374016576,0.14922016743003108
74294498_507422603_9_spinal_canal_stenosis_l1_l2,0.9913542911410331,0.28260523080825806,0.16679322720606998,0.16678973921426715,0.16678905375316994,0.1667873249522695,0.16678155064855385,0.1660591042256697
74294498_3485741709_11_left_neural_foraminal_narrowing_l1_l2,0.9914748921990395,0.28260523080825806,0.16943571911830346,0.16952885943084983,0.16944677098497757,0.16945686049513728,0.16929742775385614,0.1528343622168757
74294498_3742439825_29_right_subarticular_stenosis_l3_l4,0.875925958319567,0.27985045313835144,0.16680931896772364,0.13466280039206371,0.1757757776245923,0.175769471599639,0.17020663582158324,0.17677599559439808
75336136_1335435066_5_right_neural_foraminal_narrowing_l1_l2,0.9792704552412033,0.28260523080825806,0.1650443496024569,0.16744324733827973,0.16744394846251587,0.16723287211126656,0.16681325630320729,0.1660223261822737
75336136_3843947211_7_left_subarticular_stenosis_l1_l2,0.3106235150247812,0.2138976901769638,0.1801956866203427,0.18309413310031655,0.15747186606961794,0.1554740770287362,0.16498733575542524,0.15877690142556133
100206310_1012284084_20_left_subarticular_stenosis_l1_l2,0.761799669265747,0.26436150074005127,0.12594638519198206,0.17805072473932818,0.17189319702803657,0.17454590533777148,0.18296772092503802,0.16659606677784375
100206310_1792451510_9_spinal_canal_stenosis_l1_l2,0.32779120989143845,0.0719568282365799,0.16989946815985152,0.1426630608289544,0.17905065265783068,0.18154398570656866,0.1446569996780827,0.18218583296871194
100206310_2092806862_12_left_neural_foraminal_narrowing_l2_l3,0.4991357684135437,0.014694753102958202,0.15078166487195283,0.1395666801493354,0.17717759861163734,0.17711909511281262,0.17728809542677318,0.17806686582748865
105895264_1796707037_13_right_subarticular_stenosis_l1_l2,0.5639865010976791,0.2633686661720276,0.1388785198256029,0.16755830903370783,0.16486366563223873,0.17271260014425882,0.18864201112924464,0.16734489423494717
105895264_3528018752_6_left_neural_foraminal_narrowing_l5_s1,0.7450449757277966,0.06606148928403854,0.15724288413820547,0.17195785689453033,0.1627654085354874,0.1622151008092398,0.17214804385202334,0.1736707057705137
106310815_2365055639_6_right_neural_foraminal_narrowing_l1_l2,0.9875178739428521,0.28260523080825806,0.17788839799994605,0.17789658474514647,0.15578679947831287,0.17530216086834866,0.1778643054317261,0.13526175147651978
106310815_2473102710_11_spinal_canal_stenosis_l1_l2,0.9913451418280601,0.28260523080825806,0.16735886169660516,0.16735348755472895,0.16732458436499834,0.16733069612859083,0.16735426810383433,0.16327810215124236
106310815_3073372931_31_right_subarticular_stenosis_l3_l4,0.893683597445488,0.28056350350379944,0.18014960769165178,0.18141163645410754,0.15947008113734043,0.16370759313695563,0.17584452008479373,0.13941656149515097
107698245_1569834499_7_left_subarticular_stenosis_l1_l2,0.9821423396468162,0.28260523080825806,0.16995842160659252,0.16992383771019795,0.16992982411779986,0.1699186739004058,0.1699599431861678,0.15030929947883603
107698245_2063106893_4_right_neural_foraminal_narrowing_l2_l3,0.9726707413792609,0.28260523080825806,0.17888614492909008,0.1788784100255056,0.17405520315072354,0.17032139975088106,0.16188512897922497,0.13597371316457468
111701877_1765709605_8_spinal_canal_stenosis_l1_l2,0.9913785874843597,0.28260523080825806,0.1674354705808809,0.16740671138674673,0.167418586385717,0.16741452451341993,0.16734626428224703,0.1629784428509883
111701877_1790066392_10_left_neural_foraminal_narrowing_l1_l2,0.9911384239792823,0.28260523080825806,0.16667395569820076,0.16673626635831454,0.16668586813637282,0.16670036728012338,0.1667834061933298,0.16642013633365882
111701877_1920224774_11_right_subarticular_stenosis_l3_l4,0.5820418208837509,0.2740734815597534,0.16365251395274566,0.16365251395274566,0.1714797529905548,0.16839028660800023,0.15958473044870494,0.17324020204724871
117720278_290800562_24_right_subarticular_stenosis_l3_l4,0.6151495337486268,0.2757909893989563,0.1802979853151227,0.1802979853151227,0.17390119133518317,0.16655286256163046,0.13918201163471625,0.1597679638382248
