sample_id,consensus_insertion_auc,consensus_expert_roi,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop
8785691_481125819_8_spinal_canal_stenosis_l1_l2,0.9989212557673455,0.17618246376514435,0.1664757479183664,0.16475165740902095,0.16719534249238116,0.16719797991425056,0.16720384836455132,0.1671754239014297
8785691_1570286759_10_left_neural_foraminal_narrowing_l1_l2,0.9979503467679024,0.22901229560375214,0.16615376692819275,0.16592707378864896,0.1670563832888238,0.1669731059550166,0.16704277017320435,0.16684689986611362
8785691_2406919186_12_left_subarticular_stenosis_l3_l4,0.9793684303760529,0.2500194311141968,0.14319503968066336,0.16990760710277425,0.17197781176351473,0.17198945948897204,0.17196118340769928,0.1709688985563763
22191399_434280813_12_left_neural_foraminal_narrowing_l1_l2,0.9989185467362405,0.11690385639667511,0.16566630179033598,0.16434550801693987,0.16749715902073525,0.16749482187425258,0.16751572207370358,0.16748048722403291
22191399_3687121182_29_left_subarticular_stenosis_l3_l4,0.5657023340463638,0.22863689064979553,0.1599814188700064,0.15955263131262615,0.1694024193542722,0.16935020231082676,0.1720314660428733,0.1696818621093953
33736057_758801267_3_right_neural_foraminal_narrowing_l4_l5,0.9819245874881745,0.20724844932556152,0.1529807138209849,0.16683517929660213,0.17003026185315762,0.16996008617207575,0.17039947874819963,0.16979428010897998
33736057_1379151387_7_spinal_canal_stenosis_l1_l2,0.9991116002202035,0.1371925324201584,0.1663920522052644,0.16499539797996754,0.16718998735896165,0.1671930786235393,0.1671623160115718,0.16706716782069528
33736057_1847558962_11_right_subarticular_stenosis_l3_l4,0.9886011034250259,0.26595327258110046,0.16707427201704778,0.16677250949662484,0.16726835791408215,0.16729997917033387,0.16733077559386836,0.16425410580804298
40745534_1395478236_34_right_subarticular_stenosis_l3_l4,0.6796988055109977,0.25411176681518555,0.12686141159239997,0.1755593066455655,0.17792609918513055,0.17779299195339265,0.16564336780689284,0.17621682281661852
40745534_2948359731_13_left_neural_foraminal_narrowing_l1_l2,0.677643084526062,0.14219792187213898,0.15020091372998418,0.2028125713880735,0.16174920858534425,0.16455464204205303,0.16281795584141187,0.15786470841313316
53418228_345993377_4_left_neural_foraminal_narrowing_l3_l4,0.8910191819071769,0.26247647404670715,0.16331449270481282,0.14356125600081857,0.17231467912797907,0.1715071148000894,0.17372972521454721,0.17557273215175292
53418228_1921001089_7_left_subarticular_stenosis_l5_s1,0.7726042643189431,0.2780205011367798,0.14157526847879381,0.15823043871317868,0.17425160696322292,0.1743156941011617,0.1854377005540203,0.1661892911896225
53418228_2698575616_7_spinal_canal_stenosis_l1_l2,0.9912309065461159,0.2181253731250763,0.16611896989387942,0.16512795815982012,0.1673953097779471,0.16740072517427848,0.16697729829659605,0.1669797386974787
64092030_1924652166_4_left_subarticular_stenosis_l2_l3,0.5036037204787136,0.21206870675086975,0.1436260251178755,0.16162460878790078,0.1767383556000901,0.17485847040042446,0.16959701591587548,0.17355552417783382
64092030_3762658078_5_left_neural_foraminal_narrowing_l1_l2,0.998624536395073,0.23533476889133453,0.16586023372705055,0.16590809994242808,0.16711716403707472,0.16710538611592665,0.16717252177153735,0.16683659440598272
74782131_2762032004_6_right_neural_foraminal_narrowing_l5_s1,0.9660977706313133,0.26645150780677795,0.15412917886778948,0.15412917886778948,0.17301762837609327,0.17302984259930165,0.1724475764320673,0.17324659485695873
74782131_3401861580_5_left_subarticular_stenosis_l2_l3,0.9883391603827477,0.14954271912574768,0.1609605868956466,0.1522870045149021,0.17202720707520844,0.17192843309315417,0.17235297274253272,0.17044379567855594
85480902_272934052_17_left_subarticular_stenosis_l5_s1,0.3325909860432147,0.1916012465953827,0.15634371715527023,0.15783245107733826,0.17523050761487965,0.17664033449626257,0.1589729692179107,0.1749800204383387
85480902_902386811_11_left_neural_foraminal_narrowing_l5_s1,0.45012030899524685,0.23990443348884583,0.14074002287096923,0.1544425078308795,0.17706233624790865,0.17575255670781403,0.1731959397395773,0.17880663660285123
85480902_3748857198_8_spinal_canal_stenosis_l3_l4,0.9624515026807786,0.276297003030777,0.16082214522648575,0.1620143029649821,0.16902295464113762,0.1688644092364985,0.1701363930884918,0.16913979484240416
