sample_id,condition,label,spearman_attention_rollout_vs_gradcam,top20_iou_attention_rollout_vs_gradcam,spearman_attention_rollout_vs_gradcam++,top20_iou_attention_rollout_vs_gradcam++,spearman_attention_rollout_vs_gradient_shap,top20_iou_attention_rollout_vs_gradient_shap,spearman_attention_rollout_vs_guided_backprop,top20_iou_attention_rollout_vs_guided_backprop,spearman_attention_rollout_vs_integrated_gradients,top20_iou_attention_rollout_vs_integrated_gradients,spearman_attention_rollout_vs_occlusion,top20_iou_attention_rollout_vs_occlusion,spearman_gradcam_vs_gradcam++,top20_iou_gradcam_vs_gradcam++,spearman_gradcam_vs_gradient_shap,top20_iou_gradcam_vs_gradient_shap,spearman_gradcam_vs_guided_backprop,top20_iou_gradcam_vs_guided_backprop,spearman_gradcam_vs_integrated_gradients,top20_iou_gradcam_vs_integrated_gradients,spearman_gradcam_vs_occlusion,top20_iou_gradcam_vs_occlusion,spearman_gradcam++_vs_gradient_shap,top20_iou_gradcam++_vs_gradient_shap,spearman_gradcam++_vs_guided_backprop,top20_iou_gradcam++_vs_guided_backprop,spearman_gradcam++_vs_integrated_gradients,top20_iou_gradcam++_vs_integrated_gradients,spearman_gradcam++_vs_occlusion,top20_iou_gradcam++_vs_occlusion,spearman_gradient_shap_vs_guided_backprop,top20_iou_gradient_shap_vs_guided_backprop,spearman_gradient_shap_vs_integrated_gradients,top20_iou_gradient_shap_vs_integrated_gradients,spearman_gradient_shap_vs_occlusion,top20_iou_gradient_shap_vs_occlusion,spearman_guided_backprop_vs_integrated_gradients,top20_iou_guided_backprop_vs_integrated_gradients,spearman_guided_backprop_vs_occlusion,top20_iou_guided_backprop_vs_occlusion,spearman_integrated_gradients_vs_occlusion,top20_iou_integrated_gradients_vs_occlusion,mean_spearman,mean_top20_iou
11340341_1224932122_5_left_subarticular_stenosis_l1_l2,left_subarticular_stenosis,0,0.47493337511537903,0.3878708249775258,-0.004867913022239937,0.10687107091651042,0.2379111297999389,0.30783265997654113,0.3963488470615692,0.36642156862745096,0.23064991680181096,0.3095393449040846,0.353682336572238,0.3526917900403769,0.01705026457934297,0.17044725639979008,0.09345477379982142,0.15358087136452467,0.24066175693009675,0.16937598321971684,0.09021049607255498,0.1502091810418935,0.2702222840007187,0.19414245826650034,-0.11783280779835911,0.07855991402471789,-0.1754191921063835,0.07084933845497225,-0.144173098098932,0.07451820128479657,-0.14721238780778997,0.05694006309148265,0.5025978794230005,0.3845198675496689,0.9251421895941406,0.7650162694573917,0.33188675258786166,0.3126755044733233,0.5431965344540601,0.40634853899516504,0.4991978868497067,0.42996371914348724,0.35360005808485623,0.320522927342005,0.2367257658520663,0.26518558826437744
11340341_1224932122_6_right_subarticular_stenosis_l1_l2,right_subarticular_stenosis,0,-0.008505608642925322,0.09842972041363462,0.02744526462928179,0.19193778199952505,0.3308565719548538,0.27840040753948037,0.412174421088323,0.284864,0.3235507147225373,0.26830500979215366,0.39871660437455864,0.29114249037227213,0.5319304428401048,0.4145464796673479,-0.23239361345150808,0.0806008722338879,-0.040198722966634966,0.1025049439683586,-0.2347181254206085,0.08153257530850892,0.007475641277512727,0.12572772055530676,-0.16128735885467388,0.11165882027139297,0.00036650179348645285,0.14442923936594823,-0.15693455938080486,0.11462209140889654,0.06777533981978051,0.18838267446670212,0.4906419339184476,0.3875829646017699,0.9517506336023791,0.8357266989847252,0.3081081868929372,0.33843594009983363,0.4969739460530075,0.3953973440867691,0.4498214263120535,0.3776803452764267,0.3068031613752723,0.33923814597762386,0.20335013342558958,0.2595783936376459
11340341_1224932122_15_left_subarticular_stenosis_l2_l3,left_subarticular_stenosis,0,-0.27101832841527673,0.10069101678183613,0.002603132850877385,0.18379143564940428,0.23725640078635116,0.30783265997654113,0.3486829198404149,0.343643301867845,0.24268636971992286,0.30113452188006484,0.27545899399774637,0.30206305955624757,0.23562791450549653,0.17416486280933716,0.11982275533952234,0.12348858038513211,0.028288007073199298,0.11265106996341058,0.10877961828851275,0.12348858038513211,0.0935392476672188,0.12987671001520013,0.05095162455419323,0.125441597039197,0.013534412880098023,0.12651549169286036,0.043496121771461026,0.12348858038513211,0.05385125495173473,0.1158058597876244,0.5661609750657096,0.41847480387306524,0.9466328700787221,0.7942070445199356,0.3600314691321423,0.3573650750710131,0.5240612158320481,0.39384679491631364,0.3914860890979889,0.3486090579223223,0.3436243035305575,0.3496066169053863,0.2245503508832686,0.2550565105420477
11340341_1224932122_15_right_subarticular_stenosis_l2_l3,right_subarticular_stenosis,0,0.1463293240387239,0.22400439104714276,-0.1436404760401855,0.16631799163179917,0.1302930214297565,0.2651285930408472,0.4307527297483603,0.38042506362198225,0.09898561652756951,0.2584650112866817,0.3585072367845118,0.34356402540956205,-0.36200519383008767,0.06005387418792584,0.20238286361507696,0.20403143559901613,0.1928352426873439,0.19300957023123105,0.2086106594526306,0.2000717531690983,0.16936011919075797,0.20976578963212716,0.01598214937164861,0.15040697007910123,-0.1496690171660241,0.15371349735571396,0.0267675272618002,0.1508687424737657,-0.042508348756633,0.14015774839698122,0.4521181165559884,0.36688687597902336,0.9613222344644761,0.843483053182695,0.3441563399197186,0.3330458435613348,0.46033512525752873,0.3689379987722529,0.43085953236029945,0.36938594697744154,0.34273921196026214,0.33517177221077815,0.20354828642064393,0.27223314037364293
11340341_1224932122_24_left_subarticular_stenosis_l3_l4,left_subarticular_stenosis,1,0.5042798514645509,0.2623270440251572,0.5645916222788094,0.3265913146936347,0.17159407221486794,0.28587903639159407,0.3137491144354616,0.3245776135163675,0.21127628735811094,0.2975174553917766,0.3438165055801419,0.37710992177850966,0.5905506823702307,0.3296455780059622,-0.10476774524960579,0.11425081885305058,-0.08448179594696867,0.09229931972789115,-0.07185597676134278,0.11959613990070843,-0.053537709311159296,0.12853528254146754,-0.02469655370094006,0.14908965991068363,0.044058802733596684,0.1549749669102837,0.016126048047911942,0.1552408910378173,0.03756525823851361,0.1726555652936021,0.4819977002693735,0.3548909741443327,0.8767750923958847,0.7155312419864945,0.36686088561849206,0.31658357386512725,0.4916519135748809,0.363265860616764,0.417039403933611,0.3692181743757675,0.3650309783816363,0.32109004739336494,0.25988687799647886,0.2728985943028741
11340341_1224932122_24_right_subarticular_stenosis_l3_l4,right_subarticular_stenosis,1,0.5230682920818985,0.41397773707200225,0.5119524941047346,0.31658357386512725,0.10520764244544216,0.2148910411622276,0.2252529429746329,0.24241673888820106,0.05470954979452381,0.1989963558157596,0.3884684333667811,0.23457926716995028,0.6329950273143391,0.37108894657740127,-0.09447422664498564,0.09600262123197903,-0.14392362334590691,0.09129465499429068,-0.13659218462872244,0.08863093946626166,0.04922578243892213,0.09249402563545514,-0.012871938585175803,0.13013120108114196,-0.007172205964035014,0.12784490025288003,-0.04716885264273925,0.12481085019335314,0.12494541089253307,0.12651209677419356,0.4354410099390041,0.3494251327909635,0.8825357001759092,0.687973086627418,0.3119097447919455,0.3433284359556565,0.4350959262331078,0.3347964884277733,0.38963870608442663,0.3553668890236507,0.29975842453123747,0.3248369887374037,0.23466676454085106,0.25076104627348045
11340341_1224932122_33_left_subarticular_stenosis_l4_l5,left_subarticular_stenosis,1,0.21881869448191074,0.15114346305955179,0.15388009806490727,0.14941870454154974,0.23320104523396573,0.3044326010659041,0.48079390136672284,0.40990516332982085,0.2381655163822027,0.2974335768310815,0.3758056637369641,0.3258804907004353,0.8543551412050088,0.6724123573986177,-0.1776271928780014,0.05710826885625559,-0.06343730337087779,0.0800172080017208,-0.20777687042425413,0.05008888424134686,-0.024718608753565068,0.059514404592616,-0.23232954278668197,0.05133577789418544,-0.13987274019713458,0.0801356224099887,-0.27562838072940216,0.04498594189315839,-0.11084136736843699,0.06669850366125438,0.4866196733383208,0.4124850446899852,0.8777403860951737,0.71773365285861,0.324844223782075,0.3264053840063341,0.49858950901661997,0.4012427564057809,0.4847001932223035,0.4248352115670848,0.3366595191001405,0.32842133086631864,0.20628293135799816,0.2576968737557904
11340341_1224932122_33_right_subarticular_stenosis_l4_l5,right_subarticular_stenosis,1,0.44130220821393534,0.1919467870293384,0.4420434791032969,0.22707263389581805,0.0758712793184724,0.2013647791212738,0.33570142581684165,0.29928141386677026,0.07593219083989333,0.20692765650369835,0.16348662470176986,0.21767882060304555,0.5748928781744967,0.3591115324710503,-0.10766625737648267,0.10847232961449244,0.018254394018020613,0.11630235274486901,-0.1161334370186001,0.10975946917334808,-0.005870718209972951,0.10159165751920966,-0.13624626612355953,0.08234913444426468,-0.001343852193072319,0.11524783285174484,-0.1378026403521918,0.0851581508515815,-0.04603994984375625,0.09004507684787921,0.4224781118824121,0.3460764587525151,0.9572817865878458,0.816289592760181,0.3759069153606043,0.3271837598360114,0.4355095674320032,0.3517882400484946,0.4749018999760152,0.4112642385037266,0.3672738171001536,0.3287653095001655,0.21951111701943457,0.24255605842568947
11340341_1224932122_42_left_subarticular_stenosis_l5_s1,left_subarticular_stenosis,0,0.5308270206628263,0.34643767610358245,-0.47547057204544363,0.016923388731252532,0.10212397616195035,0.26139149016403745,0.35251110267663227,0.2940873041459798,0.09690913247276724,0.25468867216804203,0.2627222241133084,0.32976402934761057,-0.5222338272546062,0.0024975024975024975,-0.1341056346797121,0.07177186799102851,0.03489183724453725,0.09726094800721666,-0.12193121177962302,0.07729468599033816,-0.026625300033540456,0.09360730593607305,0.30586714758451,0.14679161190789097,-0.04491394806105629,0.05365392692146157,0.290772564329378,0.14587496431630032,0.05362986468590596,0.09796430715494188,0.4067321955274608,0.3228315317690483,0.9613264644287904,0.843483053182695,0.338466272853163,0.36689767631471665,0.37829803277528506,0.30911225621290195,0.3341028913106288,0.33161239078633836,0.32247351870542107,0.3530163427264779,0.16411303579421826,0.22937918725597317
11340341_1224932122_42_right_subarticular_stenosis_l5_s1,right_subarticular_stenosis,0,0.26289288363542385,0.19095924541733406,-0.2753198431937746,0.003398810416354276,0.20468691069660452,0.2611508983540646,0.4672063320158546,0.3207236842105263,0.24386772085038974,0.2750079390282629,0.42833648899915233,0.36862531490433714,-0.6807663870735138,0.000299028158484924,-0.14490129299913718,0.12455177050649932,-0.14313589307350127,0.09533944553590919,-0.148412178667189,0.12260193523127692,-0.0860440581254462,0.15175654765316063,0.26346700107678395,0.14137852593266606,0.0957449550361052,0.10871726881007623,0.25668906534085484,0.1391111867869913,0.08879474381821777,0.11242734569609743,0.43487629954225304,0.3223957303814983,0.9305857593125688,0.7908450075845453,0.3683812509733585,0.35372179184910746,0.48685035505946433,0.3482466747279323,0.47000882005884725,0.39633129516397997,0.38062165029156414,0.35802135423705905,0.18592526588451816,0.2374100381231507
