sample_id,consensus_insertion_auc,consensus_expert_roi,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop
26342422_226564374_4_right_neural_foraminal_narrowing_l1_l2,0.9793811857700347,0.2804616093635559,0.16769240119959372,0.16721282021093348,0.16505249540579162,0.16680410886900096,0.16512649099303192,0.1681116833216483
26342422_307069509_3_left_subarticular_stenosis_l1_l2,0.9646847881376743,0.28260523080825806,0.1692953540418523,0.17033498236902064,0.16830276239956773,0.16981139836984208,0.15160968365971378,0.17064581916000332
26342422_2528347280_9_spinal_canal_stenosis_l1_l2,0.967579172551632,0.28260523080825806,0.16660455001989388,0.16734932880188685,0.1660241203581902,0.16609942672390685,0.16620261689242388,0.16771995720369834
38281420_1178941473_3_left_subarticular_stenosis_l1_l2,0.7977051757276057,0.25990602374076843,0.14127652048237013,0.14127652048237013,0.17434685348730186,0.17928492232752813,0.1776659156333538,0.186149267587076
38281420_2565838687_4_right_neural_foraminal_narrowing_l4_l5,0.6003743022680281,0.28229856491088867,0.17132085184451093,0.17469969720103765,0.15731585686150884,0.1587792876033726,0.1716303261054991,0.166253980384071
46494080_1543341132_3_left_subarticular_stenosis_l3_l4,0.40503361038863656,0.28219637274742126,0.14989136341045456,0.1679981448048007,0.17522915055931054,0.16419934957571217,0.18156821471192067,0.16111377693780127
46494080_1763376930_8_spinal_canal_stenosis_l5_s1,0.9105179786682128,0.18519337475299835,0.16189595151193356,0.1609646181273817,0.17087967688580138,0.1710850686137236,0.1653786592286394,0.16979602563252047
46494080_4061588226_13_right_neural_foraminal_narrowing_l5_s1,0.502654606103897,0.23752018809318542,0.16741559363428862,0.16167401490015013,0.16700793730877042,0.16835205520060909,0.17107804693048476,0.16447235202569693
52397721_2770638094_5_right_neural_foraminal_narrowing_l3_l4,0.6199465200304984,0.27528536319732666,0.17259713909099947,0.16776205950529607,0.16898642830942567,0.16459700576937233,0.155091693404846,0.17096567392006043
52397721_3220885418_31_left_subarticular_stenosis_l3_l4,0.5545523613691329,0.28107333183288574,0.15434256618292116,0.17331534782613622,0.1693324068633564,0.16900116190864511,0.16892282954102472,0.16508568767791637
70878995_2807935482_5_right_neural_foraminal_narrowing_l1_l2,0.9858099952340127,0.25460076332092285,0.16738740523514248,0.16723145206954787,0.16843928624595705,0.16882694828669123,0.15924002764695647,0.16887488051570507
70878995_3022642562_8_spinal_canal_stenosis_l2_l3,0.9205961890518666,0.28260523080825806,0.17804497260459004,0.17892337357719948,0.1585329518308949,0.17208596865560938,0.13157479499956978,0.1808379383321364
70878995_3493432031_37_right_subarticular_stenosis_l5_s1,0.5399183999747038,0.28260523080825806,0.16468595956948176,0.16319888884567393,0.18424341436361433,0.1650906012206714,0.1556306439035197,0.167150492097039
71973234_1433976441_14_right_neural_foraminal_narrowing_l2_l3,0.7526625812053681,0.202736034989357,0.1729113098024909,0.17609413383849484,0.16162497983734217,0.16575229402398214,0.15715666061200675,0.16646062188568317
71973234_1858127754_34_right_subarticular_stenosis_l5_s1,0.49837114810943606,0.28260523080825806,0.17203072578161088,0.171619236204504,0.17124112206238498,0.16319225336789944,0.17050223900087222,0.15141442358272847
76438935_2212277614_13_left_subarticular_stenosis_l3_l4,0.6223383575677871,0.28260523080825806,0.17068860747445397,0.1848697070648487,0.15538144275939783,0.16661766465152963,0.1570132457744061,0.16542933227536383
76438935_3320474714_9_spinal_canal_stenosis_l5_s1,0.9143800795078277,0.26217934489250183,0.1721570460258432,0.17157463560786035,0.16202733344364068,0.16672305204367846,0.15657401653758352,0.1709439163413939
76438935_3960750582_14_right_neural_foraminal_narrowing_l2_l3,0.8353725209832191,0.2796468734741211,0.1579434690752705,0.16404578057288935,0.16806116782887703,0.18221039546897733,0.1539073949014035,0.1738317921525824
108348787_1437737002_20_right_subarticular_stenosis_l3_l4,0.8880066562443971,0.26605287194252014,0.16449245025183323,0.1664064711938533,0.17431265922611947,0.17236907018565722,0.15257426972035582,0.1698450794221809
108348787_1964356067_16_left_neural_foraminal_narrowing_l4_l5,0.5407754048705101,0.2740734815597534,0.1763097679911111,0.18082508739664457,0.15157359189747413,0.171189729362135,0.13647921731120033,0.1836226060414348
110271740_688365235_4_right_neural_foraminal_narrowing_l2_l3,0.9451481044292451,0.28148147463798523,0.17079015507568757,0.17116255389773788,0.1616698982353846,0.16940856344421068,0.1573948991622761,0.16957393018470318
110271740_1709508308_6_spinal_canal_stenosis_l5_s1,0.7821578398346902,0.19283807277679443,0.172386433314954,0.17346827709842164,0.16374144519532272,0.1669970760395326,0.14953354007734615,0.17387322827442292
110271740_2337037187_19_right_subarticular_stenosis_l5_s1,0.49973112195730207,0.25440511107444763,0.17236206637238727,0.17043597929138954,0.16823700927421487,0.16190465418644268,0.17117874897313137,0.1558815419024343
135073898_1169041427_34_right_subarticular_stenosis_l5_s1,0.48888965882360935,0.2777160108089447,0.16655026497844666,0.16665983838648438,0.17172638735511903,0.17164343484385136,0.14693534751592663,0.17648472692017192
